Category: All categories

Week,The King's Speech: (United States),The Social Network: (United States),Toy Story 3: (United States),True Grit: (United States),The Fighter: (United States)
2021-07-25,3,11,12,9,8
2021-08-01,4,11,13,8,7
2021-08-08,4,13,11,9,4
2021-08-15,4,12,12,9,6
2021-08-22,3,14,13,9,5
2021-08-29,2,14,12,10,4
2021-09-05,4,16,14,11,8
2021-09-12,2,14,10,19,5
2021-09-19,3,15,10,12,5
2021-09-26,3,14,12,11,5
2021-10-03,3,15,12,9,7
2021-10-10,3,13,11,8,5
2021-10-17,3,13,12,12,5
2021-10-24,3,14,16,12,4
2021-10-31,4,17,12,7,5
2021-11-07,5,13,10,8,9
2021-11-14,4,14,12,11,6
2021-11-21,3,15,13,15,8
2021-11-28,3,12,11,13,7
2021-12-05,3,13,11,13,5
2021-12-12,3,12,16,10,5
2021-12-19,4,50,14,13,7
2021-12-26,5,100,12,13,7
2022-01-02,5,93,12,37,5
2022-01-09,7,66,10,44,5
2022-01-16,6,50,14,27,5
2022-01-23,6,36,12,21,5
2022-01-30,4,28,12,19,6
2022-02-06,4,27,26,20,11
2022-02-13,6,21,14,16,8
2022-02-20,7,23,12,15,7
2022-02-27,6,22,13,15,9
2022-03-06,6,17,11,12,8
2022-03-13,5,17,11,12,8
2022-03-20,5,16,11,11,8
2022-03-27,6,18,14,10,8
2022-04-03,4,19,15,13,7
2022-04-10,5,20,14,10,9
2022-04-17,4,17,15,11,7
2022-04-24,5,15,12,11,7
2022-05-01,5,16,14,12,6
2022-05-08,6,15,13,10,6
2022-05-15,6,16,13,14,6
2022-05-22,4,18,14,11,6
2022-05-29,4,15,16,14,8
2022-06-05,5,15,14,10,30
2022-06-12,4,17,27,10,21
2022-06-19,4,15,29,10,12
2022-06-26,4,15,20,11,8
2022-07-03,3,15,15,11,10
2022-07-10,3,15,16,11,9
2022-07-17,6,14,20,12,13
