Category: All categories

Week,The King's Speech: (United States),The Social Network: (United States)
2021-07-25,3,11
2021-08-01,4,11
2021-08-08,4,13
2021-08-15,4,12
2021-08-22,3,14
2021-08-29,2,14
2021-09-05,4,16
2021-09-12,2,14
2021-09-19,3,15
2021-09-26,3,14
2021-10-03,3,15
2021-10-10,3,13
2021-10-17,3,13
2021-10-24,3,14
2021-10-31,4,17
2021-11-07,5,13
2021-11-14,4,14
2021-11-21,3,15
2021-11-28,3,12
2021-12-05,3,13
2021-12-12,3,12
2021-12-19,4,50
2021-12-26,5,100
2022-01-02,5,93
2022-01-09,7,66
2022-01-16,6,50
2022-01-23,6,36
2022-01-30,4,28
2022-02-06,4,27
2022-02-13,6,21
2022-02-20,7,23
2022-02-27,6,22
2022-03-06,6,17
2022-03-13,5,17
2022-03-20,5,16
2022-03-27,6,18
2022-04-03,4,19
2022-04-10,5,20
2022-04-17,4,17
2022-04-24,5,15
2022-05-01,5,16
2022-05-08,6,15
2022-05-15,6,16
2022-05-22,4,18
2022-05-29,4,15
2022-06-05,5,15
2022-06-12,4,17
2022-06-19,4,15
2022-06-26,4,15
2022-07-03,3,15
2022-07-10,3,15
2022-07-17,6,14
