Category: All categories

Week,The Artist: (United States),Moneyball: (United States),The Tree of Life: (United States),The Descendants: (United States),The Help: (United States)
2021-07-25,2,19,2,6,28
2021-08-01,2,24,2,6,19
2021-08-08,2,25,3,8,29
2021-08-15,2,26,4,7,39
2021-08-22,2,25,3,6,32
2021-08-29,3,21,3,5,21
2021-09-05,2,20,3,5,40
2021-09-12,2,19,2,6,38
2021-09-19,3,16,3,5,41
2021-09-26,2,16,2,5,40
2021-10-03,3,18,3,6,26
2021-10-10,3,17,2,6,22
2021-10-17,2,18,2,8,33
2021-10-24,3,18,4,7,18
2021-10-31,3,52,3,9,19
2021-11-07,3,100,2,4,22
2021-11-14,4,74,3,3,20
2021-11-21,2,41,3,6,21
2021-11-28,3,35,3,8,26
2021-12-05,2,33,3,16,26
2021-12-12,2,28,3,6,27
2021-12-19,2,34,3,8,20
2021-12-26,3,52,4,9,27
2022-01-02,3,32,5,9,28
2022-01-09,8,29,4,9,28
2022-01-16,4,28,3,14,26
2022-01-23,4,27,4,15,24
2022-01-30,4,26,3,17,28
2022-02-06,4,35,5,11,27
2022-02-13,6,23,9,9,26
2022-02-20,4,26,10,6,26
2022-02-27,3,20,6,5,28
2022-03-06,4,23,5,7,25
2022-03-13,2,22,4,6,22
2022-03-20,4,27,6,6,25
2022-03-27,9,29,5,7,37
2022-04-03,3,44,4,6,31
2022-04-10,4,37,4,6,32
2022-04-17,2,33,5,4,29
2022-04-24,2,32,6,4,32
2022-05-01,3,42,4,5,33
2022-05-08,2,30,4,4,32
2022-05-15,2,42,4,5,30
2022-05-22,2,29,5,5,26
2022-05-29,2,22,3,5,25
2022-06-05,1,30,3,4,35
2022-06-12,1,19,4,5,29
2022-06-19,2,36,5,7,25
2022-06-26,3,30,3,6,28
2022-07-03,2,21,3,9,24
2022-07-10,2,27,4,9,25
2022-07-17,1,22,5,9,28
