Category: All categories

Week,The Artist: (United States),Moneyball: (United States)
2021-07-25,2,19
2021-08-01,2,24
2021-08-08,2,25
2021-08-15,2,26
2021-08-22,2,25
2021-08-29,3,21
2021-09-05,2,20
2021-09-12,2,19
2021-09-19,3,16
2021-09-26,2,16
2021-10-03,3,18
2021-10-10,3,17
2021-10-17,2,18
2021-10-24,3,18
2021-10-31,3,52
2021-11-07,3,100
2021-11-14,4,74
2021-11-21,2,41
2021-11-28,3,35
2021-12-05,2,33
2021-12-12,2,28
2021-12-19,2,34
2021-12-26,3,52
2022-01-02,3,32
2022-01-09,8,29
2022-01-16,4,28
2022-01-23,4,27
2022-01-30,4,26
2022-02-06,4,35
2022-02-13,6,23
2022-02-20,4,26
2022-02-27,3,20
2022-03-06,4,23
2022-03-13,2,22
2022-03-20,4,27
2022-03-27,9,29
2022-04-03,3,44
2022-04-10,4,37
2022-04-17,2,33
2022-04-24,2,32
2022-05-01,3,42
2022-05-08,2,30
2022-05-15,2,42
2022-05-22,2,29
2022-05-29,2,22
2022-06-05,1,30
2022-06-12,1,19
2022-06-19,2,36
2022-06-26,3,30
2022-07-03,2,21
2022-07-10,2,27
2022-07-17,1,22
