Category: All categories

Week,Argo: (United States),Django Unchained: (United States),Silver Linings Playbook: (United States),Zero Dark Thirty: (United States),Life of Pi: (United States)
2021-07-25,15,48,13,9,14
2021-08-01,7,62,19,10,18
2021-08-08,17,53,25,9,27
2021-08-15,30,64,19,20,18
2021-08-22,18,54,21,16,19
2021-08-29,15,49,17,16,19
2021-09-05,12,44,19,29,18
2021-09-12,11,36,16,30,15
2021-09-19,12,53,15,16,22
2021-09-26,9,41,14,10,16
2021-10-03,9,34,13,8,15
2021-10-10,12,34,13,8,13
2021-10-17,13,34,12,8,17
2021-10-24,13,37,14,7,19
2021-10-31,9,39,18,7,21
2021-11-07,12,39,18,9,18
2021-11-14,13,40,20,7,18
2021-11-21,13,46,23,7,21
2021-11-28,10,32,16,10,17
2021-12-05,9,40,22,10,18
2021-12-12,17,35,17,14,16
2021-12-19,16,46,17,10,13
2021-12-26,17,49,24,14,17
2022-01-02,15,51,23,13,21
2022-01-09,16,47,21,10,19
2022-01-16,12,43,15,14,19
2022-01-23,15,36,14,14,19
2022-01-30,15,43,15,16,19
2022-02-06,10,38,17,12,21
2022-02-13,10,35,15,10,21
2022-02-20,16,42,13,12,19
2022-02-27,16,55,14,15,18
2022-03-06,14,62,16,20,16
2022-03-13,13,40,11,12,19
2022-03-20,15,42,13,18,19
2022-03-27,35,43,14,18,23
2022-04-03,87,40,14,15,22
2022-04-10,43,34,16,13,22
2022-04-17,33,41,16,14,21
2022-04-24,30,47,15,12,25
2022-05-01,23,44,12,14,25
2022-05-08,23,39,11,15,42
2022-05-15,20,44,12,16,27
2022-05-22,23,41,12,19,22
2022-05-29,25,43,11,17,20
2022-06-05,18,43,10,29,21
2022-06-12,19,40,15,20,14
2022-06-19,17,50,10,28,15
2022-06-26,17,43,8,34,12
2022-07-03,17,39,10,100,16
2022-07-10,16,34,7,48,14
2022-07-17,17,46,6,50,12
