Category: All categories

Week,Argo: (United States),Django Unchained: (United States)
2021-07-25,18,55
2021-08-01,9,71
2021-08-08,19,61
2021-08-15,35,74
2021-08-22,21,62
2021-08-29,17,57
2021-09-05,14,50
2021-09-12,12,41
2021-09-19,13,61
2021-09-26,10,47
2021-10-03,11,39
2021-10-10,14,40
2021-10-17,15,39
2021-10-24,14,43
2021-10-31,11,45
2021-11-07,14,45
2021-11-14,15,46
2021-11-21,15,53
2021-11-28,12,37
2021-12-05,11,46
2021-12-12,20,40
2021-12-19,18,53
2021-12-26,19,56
2022-01-02,18,59
2022-01-09,19,54
2022-01-16,14,50
2022-01-23,17,42
2022-01-30,17,49
2022-02-06,11,44
2022-02-13,12,41
2022-02-20,18,48
2022-02-27,19,63
2022-03-06,16,72
2022-03-13,15,46
2022-03-20,17,48
2022-03-27,40,50
2022-04-03,100,46
2022-04-10,49,39
2022-04-17,38,48
2022-04-24,34,54
2022-05-01,27,50
2022-05-08,27,45
2022-05-15,23,51
2022-05-22,26,47
2022-05-29,29,50
2022-06-05,20,50
2022-06-12,22,46
2022-06-19,19,57
2022-06-26,19,49
2022-07-03,19,44
2022-07-10,18,39
2022-07-17,19,53
