Category: All categories

Week,12 Years a Slave: (United States),The Wolf of Wall Street: (United States),American Hustle: (United States),Dallas Buyers Club: (United States),Captain Phillips: (United States)
2021-07-25,6,57,7,8,7
2021-08-01,6,70,5,6,6
2021-08-08,8,64,5,8,5
2021-08-15,13,70,5,8,7
2021-08-22,8,73,4,7,7
2021-08-29,8,71,4,7,7
2021-09-05,12,54,8,6,9
2021-09-12,8,56,6,6,8
2021-09-19,8,66,6,6,11
2021-09-26,10,55,6,5,6
2021-10-03,7,76,4,6,8
2021-10-10,8,73,4,5,9
2021-10-17,7,74,4,6,8
2021-10-24,9,88,4,6,7
2021-10-31,8,86,4,6,8
2021-11-07,9,78,6,10,7
2021-11-14,8,69,5,7,5
2021-11-21,8,56,4,7,8
2021-11-28,7,52,7,6,8
2021-12-05,8,49,7,7,8
2021-12-12,8,56,7,19,6
2021-12-19,6,75,8,8,8
2021-12-26,6,87,11,24,9
2022-01-02,7,79,6,9,12
2022-01-09,8,75,10,7,8
2022-01-16,8,97,8,7,10
2022-01-23,9,91,6,6,7
2022-01-30,25,75,5,4,7
2022-02-06,15,98,5,5,7
2022-02-13,16,57,5,9,7
2022-02-20,17,58,6,5,5
2022-02-27,13,54,6,8,6
2022-03-06,15,60,5,7,6
2022-03-13,15,81,5,7,6
2022-03-20,12,49,5,8,5
2022-03-27,17,54,6,10,6
2022-04-03,13,57,5,9,6
2022-04-10,11,60,4,6,7
2022-04-17,12,62,6,7,8
2022-04-24,11,63,6,6,7
2022-05-01,11,58,5,7,6
2022-05-08,10,51,4,5,5
2022-05-15,9,51,5,8,6
2022-05-22,9,51,5,7,7
2022-05-29,8,49,4,7,8
2022-06-05,7,44,5,7,6
2022-06-12,26,49,5,6,8
2022-06-19,15,62,5,7,6
2022-06-26,10,69,5,8,11
2022-07-03,7,71,6,5,10
2022-07-10,7,77,6,6,10
2022-07-17,7,100,7,7,8
