Category: All categories

Week,Birdman: (United States),American Sniper: (United States),The Grand Budapest Hotel: (United States),Whiplash: (United States),Selma: (United States)
2021-07-25,13,29,20,40,9
2021-08-01,13,23,17,34,6
2021-08-08,19,26,19,35,13
2021-08-15,19,36,19,42,8
2021-08-22,14,32,19,44,8
2021-08-29,15,33,15,43,9
2021-09-05,16,32,19,38,9
2021-09-12,13,41,21,43,6
2021-09-19,25,29,21,44,9
2021-09-26,14,21,18,40,7
2021-10-03,11,22,19,33,8
2021-10-10,16,19,22,42,9
2021-10-17,13,23,27,44,15
2021-10-24,21,22,32,44,8
2021-10-31,18,24,34,33,13
2021-11-07,14,51,31,41,11
2021-11-14,15,42,30,44,10
2021-11-21,14,31,27,44,12
2021-11-28,13,28,23,37,10
2021-12-05,16,27,27,38,10
2021-12-12,20,26,25,39,8
2021-12-19,16,28,30,46,11
2021-12-26,16,29,33,45,9
2022-01-02,18,38,38,58,16
2022-01-09,24,29,30,63,22
2022-01-16,17,30,34,51,48
2022-01-23,20,28,40,45,12
2022-01-30,18,34,33,47,21
2022-02-06,17,34,30,58,18
2022-02-13,20,27,27,57,16
2022-02-20,16,39,32,62,22
2022-02-27,18,37,32,51,15
2022-03-06,18,34,26,59,16
2022-03-13,18,36,21,55,11
2022-03-20,19,38,23,53,14
2022-03-27,20,32,24,60,21
2022-04-03,20,28,27,54,19
2022-04-10,14,37,21,55,16
2022-04-17,14,29,26,64,17
2022-04-24,19,39,24,45,18
2022-05-01,14,25,20,46,17
2022-05-08,15,40,20,46,21
2022-05-15,16,27,18,45,24
2022-05-22,13,47,17,63,16
2022-05-29,13,49,41,100,11
2022-06-05,12,33,60,78,12
2022-06-12,14,30,65,77,11
2022-06-19,17,47,58,93,11
2022-06-26,18,29,43,91,8
2022-07-03,17,37,35,95,9
2022-07-10,18,36,34,82,8
2022-07-17,24,43,39,100,13
